position,num_vesicles,area_vesicles,area_percent,environment,sample
C03,0,0.0,0.0,"1M HCL, 60uL + water",1
C04,0,0.0,0.0,"1M HCL, 30uL + water",1
C05,0,0.0,0.0,0.1M NaOH 15uL + water,1
C06,0,0.0,0.0,0.1M NaOH 30uL + water,1
C07,0,0.0,0.0,"1M HCL, 60uL + seasalt",1
C08,0,0.0,0.0,"1M HCL, 30uL + seasalt",1
C09,0,0.0,0.0,0.1M NaOH 15uL + seasalt,1
C10,0,0.0,0.0,0.1M NaOH 30uL + seasalt,1
C11,0,0.0,0.0,"1M HCL, 60uL + Seasalt + soup",1
C12,0,0.0,0.0,"1M HCL, 30uL + Seasalt + soup",1
C13,0,0.0,0.0,0.1M NaOH 15uL + Seasalt + soup,1
C14,0,0.0,0.0,0.1M NaOH 30uL + Seasalt + soup,1
C15,0,0.0,0.0,Nacl 10mM,1
C16,0,0.0,0.0,Nacl 50mM,1
C17,0,0.0,0.0,Nacl 200mM,1
C18,0,0.0,0.0,Nacl 500mM,1
C19,0,0.0,0.0,"1M HCL, 60uL + water",2
C20,0,0.0,0.0,"1M HCL, 30uL + water",2
C21,0,0.0,0.0,0.1M NaOH 15uL + water,2
C22,0,0.0,0.0,0.1M NaOH 30uL + water,2
D03,0,0.0,0.0,"1M HCL, 60uL + seasalt",2
D04,0,0.0,0.0,"1M HCL, 30uL + seasalt",2
D05,0,0.0,0.0,0.1M NaOH 15uL + seasalt,2
D06,0,0.0,0.0,0.1M NaOH 30uL + seasalt,2
D07,0,0.0,0.0,"1M HCL, 60uL + Seasalt + soup",2
D08,0,0.0,0.0,"1M HCL, 30uL + Seasalt + soup",2
D09,0,0.0,0.0,0.1M NaOH 15uL + Seasalt + soup,2
D10,0,0.0,0.0,0.1M NaOH 30uL + Seasalt + soup,2
D11,0,0.0,0.0,Nacl 10mM,2
D12,0,0.0,0.0,Nacl 50mM,2
D13,0,0.0,0.0,Nacl 200mM,2
D14,0,0.0,0.0,Nacl 500mM,2
D15,0,0.0,0.0,"1M HCL, 60uL + water",3
D16,0,0.0,0.0,"1M HCL, 30uL + water",3
D17,0,0.0,0.0,0.1M NaOH 15uL + water,3
D18,3,2737.1125994401073,0.00261031398719795,0.1M NaOH 30uL + water,3
D19,0,0.0,0.0,"1M HCL, 60uL + seasalt",3
D20,0,0.0,0.0,"1M HCL, 30uL + seasalt",3
D21,0,0.0,0.0,0.1M NaOH 15uL + seasalt,3
D22,0,0.0,0.0,0.1M NaOH 30uL + seasalt,3
E03,0,0.0,0.0,"1M HCL, 60uL + Seasalt + soup",3
E04,0,0.0,0.0,"1M HCL, 30uL + Seasalt + soup",3
E05,2,488.12495855151406,0.0004655122361674,0.1M NaOH 15uL + Seasalt + soup,3
E06,0,0.0,0.0,0.1M NaOH 30uL + Seasalt + soup,3
E07,0,0.0,0.0,Nacl 10mM,3
E08,0,0.0,0.0,Nacl 50mM,3
E09,0,0.0,0.0,Nacl 200mM,3
E10,5,2554.900225531899,0.00243654272607025,Nacl 500mM,3
E11,0,0.0,0.0,"1M HCL, 60uL + water",4
E12,0,0.0,0.0,"1M HCL, 30uL + water",4
E13,0,0.0,0.0,0.1M NaOH 15uL + water,4
E14,0,0.0,0.0,0.1M NaOH 30uL + water,4
E15,0,0.0,0.0,"1M HCL, 60uL + seasalt",4
E16,0,0.0,0.0,"1M HCL, 30uL + seasalt",4
E17,0,0.0,0.0,0.1M NaOH 15uL + seasalt,4
E18,0,0.0,0.0,0.1M NaOH 30uL + seasalt,4
E19,0,0.0,0.0,"1M HCL, 60uL + Seasalt + soup",4
E20,0,0.0,0.0,"1M HCL, 30uL + Seasalt + soup",4
E21,0,0.0,0.0,0.1M NaOH 15uL + Seasalt + soup,4
E22,0,0.0,0.0,0.1M NaOH 30uL + Seasalt + soup,4
F03,0,0.0,0.0,Nacl 10mM,4
F04,0,0.0,0.0,Nacl 50mM,4
F05,0,0.0,0.0,Nacl 200mM,4
F06,0,0.0,0.0,Nacl 500mM,4
F07,0,0.0,0.0,"1M HCL, 60uL + water",5
F08,0,0.0,0.0,"1M HCL, 30uL + water",5
F09,0,0.0,0.0,0.1M NaOH 15uL + water,5
F10,0,0.0,0.0,0.1M NaOH 30uL + water,5
F11,0,173.18029502913734,0.0001651575994769,"1M HCL, 60uL + seasalt",5
F12,0,0.0,0.0,"1M HCL, 30uL + seasalt",5
F13,0,0.0,0.0,0.1M NaOH 15uL + seasalt,5
F14,0,0.0,0.0,0.1M NaOH 30uL + seasalt,5
F15,0,245.4369260617026,0.0002340668926827,"1M HCL, 60uL + Seasalt + soup",5
F16,0,0.0,0.0,"1M HCL, 30uL + Seasalt + soup",5
F17,0,226.1946710584651,0.0002157160482964,0.1M NaOH 15uL + Seasalt + soup,5
F18,7,2886.338250485622,0.00275262665794905,0.1M NaOH 30uL + Seasalt + soup,5
F19,0,113.49003461093127,0.0001082325311765,Nacl 10mM,5
F20,0,0.0,0.0,Nacl 50mM,5
F21,0,141.7643684932394,0.00013519703721355,Nacl 200mM,5
F22,0,0.0,0.0,Nacl 500mM,5
G03,0,0.0,0.0,"1M HCL, 60uL + water",6
G04,0,0.0,0.0,"1M HCL, 30uL + water",6
G05,2,1069.3195994656257,0.0010197826380401501,0.1M NaOH 15uL + water,6
G06,0,0.0,0.0,0.1M NaOH 30uL + water,6
G07,0,0.0,0.0,"1M HCL, 60uL + seasalt",6
G08,0,0.0,0.0,"1M HCL, 30uL + seasalt",6
G09,0,0.0,0.0,0.1M NaOH 15uL + seasalt,6
G10,0,0.0,0.0,0.1M NaOH 30uL + seasalt,6
G11,0,0.0,0.0,"1M HCL, 60uL + Seasalt + soup",6
G12,0,0.0,0.0,"1M HCL, 30uL + Seasalt + soup",6
G13,2,2858.4566156850133,0.00272603665894025,0.1M NaOH 15uL + Seasalt + soup,6
