position,num_vesicles,area_vesicles,area_percent
C03,0,0.0,0.0
C04,0,0.0,0.0
C05,0,0.0,0.0
C06,0,0.0,0.0
C07,0,0.0,0.0
C08,0,0.0,0.0
C09,4,5573.1853674682925,0.0053150037455256
C10,0,0.0,0.0
C11,0,0.0,0.0
C12,0,0.0,0.0
C13,0,0.0,0.0
C14,2,745.7355561458771,0.0007111888467272
C15,1,1247.2122834751478,0.0011894343218566
C16,166,198241.17232590483,0.18905751450148084
C17,0,0.0,0.0
C18,0,0.0,0.0
C19,0,0.0,0.0
C20,0,0.0,0.0
C21,18,16850.324896610553,0.01606972207699825
C22,32,49303.762406356516,0.0470197319091382
D03,1,339.6847056693964,0.0003239485794729
D04,11,15097.70889498915,0.014398297209729249
D05,0,0.0,0.0
D06,0,0.0,0.0
D07,2,2707.660168312703,0.002582225960076
D08,19,15735.844902749574,0.0150068711307044
D09,8,3999.640147101505,0.00381435408315795
D10,2,1408.2189069716246,0.0013429822034564999
D11,70,33129.66532843116,0.03159491093485935
D12,0,0.0,0.0
D13,3,2321.636971002857,0.00221408555126455
D14,3,1864.9279389872409,0.0017785338773605
D15,2,1941.111560836794,0.00185118824084925
D16,18,8494.473836225101,0.0081009615289927
D17,2,541.1393345808418,0.00051607068498685
D18,0,0.0,0.0
D19,2,1639.5186660921731,0.0015635668431207
D20,17,13142.067468129502,0.01253325220883315
D21,26,11621.536623792043,0.011083160995285
D22,6,4985.314842165303,0.00475436672417185
E03,6,2459.0816495974104,0.0023451630111669002
E04,0,0.0,0.0
E05,0,141.7643684932394,0.00013519703721355
E06,2,1946.6093479805754,0.0018564313392453499
E07,6,7646.636518837558,0.00729240085490945
E08,37,13841.46453263493,0.013200249226221952
E09,2,548.9933162148163,0.00052356082555275
E10,12,7147.515985998478,0.0068164024219498
E11,0,0.0,0.0
E12,0,0.0,0.0
E13,0,0.0,0.0
E14,0,0.0,0.0
E15,0,0.0,0.0
E16,0,0.0,0.0
E17,6,13325.457939282805,0.0127081469910457
E18,6,4368.7772838983055,0.004166390689752849
E19,0,0.0,0.0
E20,32,34260.24598464179,0.032673116669313204
E21,0,0.0,0.0
E22,18,15467.631429949346,0.0147510828303807
F03,0,0.0,0.0
F04,3,2103.688980660065,0.0020062341505623
F05,0,0.0,0.0
F06,0,0.0,0.0
F07,0,0.0,0.0
F08,0,0.0,0.0
F09,6,6772.488362976197,0.00645874820993055
F10,0,0.0,0.0
F11,0,0.0,0.0
F12,0,0.0,0.0
F13,0,0.0,0.0
F14,10,4863.185427757,0.00463789503837295
F15,0,0.0,0.0
F16,2,798.7499321752049,0.00076174729554665
F17,1,1329.2863915501812,0.0012677062907697
F18,0,0.0,0.0
F19,4,1605.3538459843844,0.00153098473165925
F20,0,0.0,0.0
F21,1,2997.0793915246627,0.0028582376399275003
F22,0,0.0,0.0
G03,0,0.0,0.0
G04,4,2814.867017616454,0.00268446637879985
G05,3,3336.37139811236,0.00318181171237215
G06,0,453.9601384437251,0.000432930124706
G07,0,0.0,0.0
G08,2,1061.4656178316513,0.0010122924974743
G09,0,0.0,0.0
G10,0,173.18029502913734,0.0001651575994769
G11,4,3255.868086364122,0.0031050377715721496
G12,0,0.0,0.0
G13,0,0.0,0.0
G14,0,0.0,0.0
G15,0,0.0,0.0
G16,1,314.94466352237674,0.00030035463669045
G17,0,0.0,0.0
G18,0,0.0,0.0
G19,0,0.0,0.0
G20,0,0.0,0.0
G21,0,0.0,0.0
G22,0,0.0,0.0
H03,0,0.0,0.0
H04,0,0.0,0.0
H05,8,25055.7722087054,0.0238950464331678
H06,0,0.0,0.0
H07,0,0.0,0.0
H08,0,0.0,0.0
H09,0,0.0,0.0
H10,0,0.0,0.0
H11,0,0.0,0.0
H12,1,286.67032964006864,0.00027339013065340003
H13,0,0.0,0.0
H14,0,0.0,0.0
H15,0,0.0,0.0
H16,0,0.0,0.0
H17,4,5021.835856763285,0.0047891958778031
H18,0,0.0,0.0
H19,0,0.0,0.0
H20,0,226.1946710584651,0.0002157160482964
H21,0,0.0,0.0
H22,0,0.0,0.0
I03,0,0.0,0.0
I04,0,173.18029502913734,0.0001651575994769
I05,2,1097.9866324296327,0.0010471216511055
I06,0,0.0,0.0
I07,5,3835.09923186974,0.0036574356383035
I08,0,0.0,0.0
I09,2,2478.3239046006474,0.00236351385555325
I10,0,0.0,0.0
I11,0,0.0,0.0
I12,2,1101.520924164921,0.0010504922143601
I13,0,330.259927708627,0.0003149604107939
I14,2,1306.5098448116553,0.0012459848831287501
I15,0,0.0,0.0
I16,0,173.18029502913734,0.0001651575994769
I17,0,0.0,0.0
I18,0,0.0,0.0
I19,4,3755.774017366598,0.0035817852185884
I20,0,0.0,0.0
I21,1,2288.2575490584654,0.00218225245385975
I22,0,0.0,0.0
J03,0,0.0,0.0
J04,0,226.98006922186255,0.000216465062353
J05,1,346.3605900582747,0.0003303151989538
J06,1,905.5640823972578,0.0008636132072422
J07,4,2234.4577748657402,0.00213094499098365
J08,45,36108.68056219768,0.03443592125148545
J09,0,0.0,0.0
J10,0,173.18029502913734,0.0001651575994769
J11,10,3798.18551819006,0.003622231977644
J12,0,0.0,0.0
J13,16,15806.923436537045,0.01507465690282535
J14,17,9325.032394017902,0.00889304389383115
J15,14,13415.778728073514,0.012794283607552949
J16,2,541.1393345808418,0.00051607068498685
J17,54,40990.32284679453,0.03909141812018825
J18,0,0.0,0.0
J19,3,2867.8813936457823,0.0027350248276193
J20,84,64724.26994650201,0.06172587389612385
J21,16,8922.123136195012,0.0085087996828031
J22,1,974.6791207762334,0.0009295264442216501
K03,17,7829.634290909162,0.007466921130093651
K04,0,0.0,0.0
K05,4,7217.809121622549,0.006883439180014149
K06,7,5035.973023704439,0.0048026781308215995
K07,11,8329.540221911639,0.0079436685771099
K08,36,15028.201157528474,0.014332009465721551
K09,25,20145.462891144547,0.0192122105513997
K10,0,0.0,0.0
K11,32,28780.130299536097,0.02744687108949285
K12,31,13682.814103628645,0.013048948386791801
K13,4,1639.9113651738721,0.001563941350149
K14,0,0.0,0.0
K15,16,5985.912102333652,0.0057086106322609
K16,0,0.0,0.0
K17,18,20100.695195830893,0.01916951675017435
K18,8,3955.2651508695494,0.0037720347889608997
K19,45,49651.30109365989,0.04735117062917695
K20,30,13388.682491436304,0.0127684426226008
K21,54,46810.12323756962,0.04464161227948145
K22,0,0.0,0.0
L11,0,0.0,0.0
L12,10,4975.497365122835,0.00474500404846455
L13,4,2245.060650071606,0.00214105668074755
L14,0,0.0,0.0
L15,50,20597.459534179776,0.01964326814096425
L16,0,0.0,0.0
L17,4,2906.7586027339557,0.00277210102342025
L18,0,0.0,0.0
L19,0,0.0,0.0
L20,38,12633.129458247957,0.01204789110016625
L21,0,0.0,0.0
L22,0,0.0,0.0
