decanoic acid_concentration (mM) (50 mM),decanoic acid_concentration (mM) (10 mM),decanoic acid_concentration (mM) (2 mM),decanoate_concentration (mM) (50 mM),decanoate_concentration (mM) (10 mM),decanoate_concentration (mM) (2 mM),decylamine_concentration (mM) (50 mM),decylamine_concentration (mM) (10 mM),decylamine_concentration (mM) (2 mM),decyl trimethylamine_concentration (mM) (50 mM),decyl trimethylamine_concentration (mM) (10 mM),decyl trimethylamine_concentration (mM) (2 mM),decylsulfate_concentration (mM) (50 mM),decylsulfate_concentration (mM) (10 mM),decylsulfate_concentration (mM) (2 mM),decanol_concentration (mM) (15 mM),decanol_concentration (mM) (3 mM),monocaprin_concentration (mM) (10 mM),monocaprin_concentration (mM) (2 mM)
17.2,0.0,0.0,13.1,0.0,0.0,19.0,0.0,0.0,0.0,0.0,18.0,8.6,0.0,0.0,16.8,0.0,19.9,0.0
13.1,0.0,0.0,17.5,0.0,0.0,18.0,0.0,0.0,16.3,0.0,0.0,18.7,0.0,0.0,0.0,0.2,16.8,0.0
19.2,0.0,0.0,8.4,0.0,0.0,15.4,0.0,0.0,15.2,0.0,0.0,0.0,7.5,0.0,13.1,0.0,0.0,16.4
0.0,0.0,3.0,19.4,0.0,0.0,18.6,0.0,0.0,0.0,9.5,0.0,0.0,0.0,15.5,7.5,0.0,0.0,19.3
10.5,0.0,0.0,11.5,0.0,0.0,0.0,0.0,12.5,14.3,0.0,0.0,0.0,6.5,0.0,18.9,0.0,19.5,0.0
14.1,0.0,0.0,18.4,0.0,0.0,0.0,0.0,13.1,0.0,0.0,2.1,0.0,4.8,0.0,12.5,0.0,0.0,2.2
0.0,0.0,16.3,0.0,4.8,0.0,16.5,0.0,0.0,0.0,0.0,6.3,14.6,0.0,0.0,18.5,0.0,19.5,0.0
14.2,0.0,0.0,0.0,18.8,0.0,0.0,0.0,7.9,0.0,0.0,5.5,19.1,0.0,0.0,14.2,0.0,18.8,0.0
11.6,0.0,0.0,17.0,0.0,0.0,11.4,0.0,0.0,0.0,0.0,11.4,11.4,0.0,0.0,0.0,7.7,4.3,0.0
0.0,0.0,11.2,14.2,0.0,0.0,16.6,0.0,0.0,19.1,0.0,0.0,9.8,0.0,0.0,15.8,0.0,13.8,0.0
12.0,0.0,0.0,0.0,6.5,0.0,13.6,0.0,0.0,0.0,15.9,0.0,18.1,0.0,0.0,18.2,0.0,0.0,11.3
4.0,0.0,0.0,0.0,0.0,0.6,15.9,0.0,0.0,9.7,0.0,0.0,0.0,0.0,18.0,16.1,0.0,15.4,0.0
